0.00598156 0.00598156   0.999982 
   1.56672   0.999992 0.00407118 
   1.57215   0.999999 -0.00136386 
   1.57759   0.999977 -0.00679886 
   1.58302   0.999925 -0.0122337 
   1.58846   0.999844 -0.0176681 
   1.59389   0.999733  -0.023102 
   1.59933   0.999593 -0.0285352 
   1.60476   0.999423 -0.0339676 
    1.6102   0.999224  -0.039399 
   1.61563   0.998995 -0.0448292 
   1.62107   0.998736 -0.0502581 
    1.6265   0.998448 -0.0556855 
   1.63194   0.998131 -0.0611113 
   1.63737   0.997784 -0.0665353 
   1.64281   0.997408 -0.0719573 
   1.64824   0.997002 -0.0773771 
   1.65368   0.996567 -0.0827947 
   1.65911   0.996102 -0.0882099 
   1.66455   0.995608 -0.0936224 
   1.66998   0.995084 -0.0990322 
   1.67542   0.994531  -0.104439 
   1.68085   0.993949  -0.109843 
   1.68629   0.993337  -0.115243 
   1.69172   0.992696   -0.12064 
   1.69716   0.992026  -0.126034 
   1.70259   0.991326  -0.131424 
   1.70803   0.990597   -0.13681 
   1.71346   0.989839  -0.142192 
    1.7189   0.989052  -0.147569 
   1.72433   0.988235  -0.152943 
   1.72977   0.987389  -0.158311 
    1.7352   0.986514  -0.163676 
   1.74064    0.98561  -0.169035 
   1.74607   0.984677  -0.174389 
   1.75151   0.983714  -0.179738 
   1.75694   0.982723  -0.185082 
   1.76238   0.981703  -0.190421 
   1.76781   0.980653  -0.195753 
   1.77325   0.979575   -0.20108 
   1.77868   0.978467  -0.206401 
   1.78412   0.977331  -0.211716 
   1.78955   0.976166  -0.217025 
   1.79499   0.974972  -0.222327 
   1.80042   0.973749  -0.227623 
   1.80586   0.972498  -0.232912 
   1.81129   0.971218  -0.238194 
   1.81673   0.969909  -0.243469 
   1.82216   0.968571  -0.248737 
    1.8276   0.967205  -0.253998 
   1.83303    0.96581  -0.259251 
   1.83847   0.964387  -0.264496 
    1.8439   0.962935  -0.269734 
   1.84934   0.961455  -0.274963 
   1.85477   0.959946  -0.280185 
   1.86021   0.958409  -0.285398 
   1.86564   0.956844  -0.290603 
   1.87108    0.95525  -0.295799 
   1.87651   0.953629  -0.300986 
   1.88195   0.951979  -0.306165 
   1.88738   0.950301  -0.311334 
   1.89282   0.948594  -0.316495 
   1.89825    0.94686  -0.321646 
   1.90369   0.945098  -0.326787 
   1.90912   0.943308  -0.331919 
